Meeting,Category,Sub Category,Project Name,Owner,CEO Office Lead,Priority,Status,Progress,Deadline,Latest Update
Y,Merch,Planning,2027 Revenue Plan by Brand,Haiwei,,High,In Progress,10,,Merch tooling WIP — overall data is ready and currently plugged into the business case
Y,New Brand Launches,BALR,BALR Relaunch — Pricing & Range,Nitheesh,Kam,High,At Risk,55,2026-07-08,Two RRP scenarios modelled vs HUGO / Represent / FOG Essentials — scenario sign-off needed Wednesday to protect Sept drop
Y,New Brand Launches,KIZN,KIZN Autumn Capsule,Thomas,,Medium,In Progress,35,2026-08-14,Sampling round 2 back from factory; 3 styles resubmitted for fit
Y,New Collaborations,,Collab Pipeline — Q3 Shortlist,Lauren,Nitin,High,In Progress,60,2026-07-20,5 partners shortlisted; term sheets drafted for top 2
Y,New Collaborations,,Baby Phat x Artist Drop,Ayesha,,Medium,Not Started,0,2026-09-01,Awaiting kickoff pending budget approval
Y,AI,Imagery,AI Model Imagery — Plus Sizes,Ayesha,Kam,High,In Progress,40,2026-07-24,Pilot scoped to close the Plus CTR gap; vendor selected
Y,AI,Tooling,Weekly Performance Dashboard,Nitheesh,,Medium,In Progress,85,2026-07-14,Railway deployment stable; currency toggle and brand hierarchy live
Y,AI,Content,AI Content Engine POC,Zee,,Low,Not Started,0,,Awaiting kickoff — brief drafted
Y,Quick Wins,,Size Chart Fix — Missguided,Helen,,Low,Completed,100,2026-07-03,Live on webshop; returns impact tracked from next week
Y,Marketing,Org,Ways of Working & Org Design,Zee / Tanmay,,Medium,In Progress,20,2026-07-15,Audit of internal team capabilities and role ownership gaps across social & paid content teams
Y,Onsite + Pricing,SHEIN,Pricing Play — Stock Bucket Targets,Sree,,High,In Progress,70,2026-07-10,Stock bucket targets loaded; New A hit rate +0.4pts WoW
Y,Others,Legal,EU Entity Setup,Kam,Nitin,High,At Risk,30,2026-06-30,Ireland via TMF recommended; awaiting approval — de minimis exposure grows each week of delay
Y,Product,KSTM,KSTM Trading Recovery,Thomas,,High,In Progress,25,2026-07-09,Proposal: cut tail 40% of SKCs and reinvest in top 3 categories
Y,Finance,Investor,Morgan Stanley Data Room,Kam,Nitin,High,In Progress,80,2026-07-15,Deck v6 finalised; data room structure agreed ahead of partner meeting
Y,HR,Hiring,Dubai Office Hiring Wave,Shani,,Medium,In Progress,50,2026-08-01,4 of 8 roles offered; buyer role reopened
Y,Wholesale,India,India Marketplace Onboarding,Zee,Nitin,High,In Progress,70,2026-07-17,Nykaa terms agreed; Myntra seller account activated; Amazon GST approval pending
N,Marketing,Content,Content Engine — Ways of Working,Zee / Tanmay,,Medium,In Progress,15,2026-07-03,Ad set strategy for July in development; review with Nitin on Monday
N,Studio,,Budget & Governance,Helen,,High,In Progress,20,,Q3 studio budget draft in review
N,HR,,Performance Review Cycle H1,Shani,,Low,Completed,100,2026-06-26,Closed; calibration notes shared with leads
N,Finance,,Cafe P&L Update,Helen,,Low,Completed,100,,June P&L circulated
N,Others,IT,IT Vendor Migration — DSP,Shani,,Medium,In Progress,50,2026-07-11,Contract in redlines; NAVSAC notice period confirmed at 60 days
N,Merch,,Monthly Brand Scorecard,Nitheesh,,Medium,Always On,100,,Updates by the 5th of each month across all 10 brands
N,Onsite + Pricing,Webshop,Shopify Migration Assessment,Lauren,,Medium,In Progress,65,2026-07-22,Financial simulations complete across three GMV scenarios
